PERMNO,CUSIP,Ticker,DlyCalDt,DlyPrc,DlyRetx,DlyClose
14593,03783310,AAPL,20210521,125.4300,-0.014767,125.4300
14593,03783310,AAPL,20210524,127.1000,0.013314,127.1000
14593,03783310,AAPL,20210525,126.9000,-0.001574,126.9000
14593,03783310,AAPL,20210526,126.8500,-0.000394,126.8500
14593,03783310,AAPL,20210527,125.2800,-0.012377,125.2800
14593,03783310,AAPL,20210528,124.6100,-0.005348,124.6100
14593,03783310,AAPL,20210601,124.2800,-0.002648,124.2800
14593,03783310,AAPL,20210602,125.0600,0.006276,125.0600
14593,03783310,AAPL,20210603,123.5400,-0.012154,123.5400
14593,03783310,AAPL,20210604,125.8900,0.019022,125.8900
14593,03783310,AAPL,20210607,125.9000,0.000079,125.9000
14593,03783310,AAPL,20210608,126.7400,0.006672,126.7400
14593,03783310,AAPL,20210609,127.1300,0.003077,127.1300
14593,03783310,AAPL,20210610,126.1100,-0.008023,126.1100
14593,03783310,AAPL,20210611,127.3500,0.009833,127.3500
14593,03783310,AAPL,20210614,130.4800,0.024578,130.4800
14593,03783310,AAPL,20210615,129.6400,-0.006438,129.6400
14593,03783310,AAPL,20210616,130.1500,0.003934,130.1500
14593,03783310,AAPL,20210617,131.7900,0.012601,131.7900
14593,03783310,AAPL,20210618,130.4600,-0.010092,130.4600
14593,03783310,AAPL,20210621,132.3000,0.014104,132.3000
14593,03783310,AAPL,20210622,133.9800,0.012698,133.9800
14593,03783310,AAPL,20210623,133.7000,-0.002090,133.7000
14593,03783310,AAPL,20210624,133.4100,-0.002169,133.4100
14593,03783310,AAPL,20210625,133.1100,-0.002249,133.1100
14593,03783310,AAPL,20210628,134.7800,0.012546,134.7800
14593,03783310,AAPL,20210629,136.3300,0.011500,136.3300
14593,03783310,AAPL,20210630,136.9600,0.004621,136.9600
14593,03783310,AAPL,20210701,137.2700,0.002263,137.2700
14593,03783310,AAPL,20210702,139.9600,0.019596,139.9600
14593,03783310,AAPL,20210706,142.0200,0.014718,142.0200
14593,03783310,AAPL,20210707,144.5700,0.017955,144.5700
14593,03783310,AAPL,20210708,143.2400,-0.009200,143.2400
14593,03783310,AAPL,20210709,145.1100,0.013055,145.1100
14593,03783310,AAPL,20210712,144.5000,-0.004204,144.5000
14593,03783310,AAPL,20210713,145.6400,0.007889,145.6400
14593,03783310,AAPL,20210714,149.1500,0.024101,149.1500
14593,03783310,AAPL,20210715,148.4800,-0.004492,148.4800
14593,03783310,AAPL,20210716,146.3900,-0.014076,146.3900
14593,03783310,AAPL,20210719,142.4500,-0.026914,142.4500
14593,03783310,AAPL,20210720,146.1500,0.025974,146.1500
14593,03783310,AAPL,20210721,145.4000,-0.005132,145.4000
14593,03783310,AAPL,20210722,146.8000,0.009629,146.8000
14593,03783310,AAPL,20210723,148.5600,0.011989,148.5600
14593,03783310,AAPL,20210726,148.9900,0.002894,148.9900
14593,03783310,AAPL,20210727,146.7700,-0.014900,146.7700
14593,03783310,AAPL,20210728,144.9800,-0.012196,144.9800
14593,03783310,AAPL,20210729,145.6400,0.004552,145.6400
14593,03783310,AAPL,20210730,145.8600,0.001511,145.8600
14593,03783310,AAPL,20210802,145.5200,-0.002331,145.5200
14593,03783310,AAPL,20210803,147.3600,0.012644,147.3600
14593,03783310,AAPL,20210804,146.9500,-0.002782,146.9500
14593,03783310,AAPL,20210805,147.0600,0.000749,147.0600
14593,03783310,AAPL,20210806,146.1400,-0.006256,146.1400
14593,03783310,AAPL,20210809,146.0900,-0.000342,146.0900
14593,03783310,AAPL,20210810,145.6000,-0.003354,145.6000
14593,03783310,AAPL,20210811,145.8600,0.001786,145.8600
14593,03783310,AAPL,20210812,148.8900,0.020773,148.8900
14593,03783310,AAPL,20210813,149.1000,0.001410,149.1000
14593,03783310,AAPL,20210816,151.1200,0.013548,151.1200
14593,03783310,AAPL,20210817,150.1900,-0.006154,150.1900
14593,03783310,AAPL,20210818,146.3600,-0.025501,146.3600
14593,03783310,AAPL,20210819,146.7000,0.002323,146.7000
14593,03783310,AAPL,20210820,148.1900,0.010157,148.1900
14593,03783310,AAPL,20210823,149.7100,0.010257,149.7100
14593,03783310,AAPL,20210824,149.6200,-0.000601,149.6200
14593,03783310,AAPL,20210825,148.3600,-0.008421,148.3600
14593,03783310,AAPL,20210826,147.5400,-0.005527,147.5400
14593,03783310,AAPL,20210827,148.6000,0.007184,148.6000
14593,03783310,AAPL,20210830,153.1200,0.030417,153.1200
14593,03783310,AAPL,20210831,151.8300,-0.008425,151.8300
14593,03783310,AAPL,20210901,152.5100,0.004479,152.5100
14593,03783310,AAPL,20210902,153.6500,0.007475,153.6500
14593,03783310,AAPL,20210903,154.3000,0.004230,154.3000
14593,03783310,AAPL,20210907,156.6900,0.015489,156.6900
14593,03783310,AAPL,20210908,155.1100,-0.010084,155.1100
14593,03783310,AAPL,20210909,154.0700,-0.006705,154.0700
14593,03783310,AAPL,20210910,148.9700,-0.033102,148.9700
14593,03783310,AAPL,20210913,149.5500,0.003893,149.5500
14593,03783310,AAPL,20210914,148.1200,-0.009562,148.1200
14593,03783310,AAPL,20210915,149.0300,0.006144,149.0300
14593,03783310,AAPL,20210916,148.7900,-0.001610,148.7900
14593,03783310,AAPL,20210917,146.0600,-0.018348,146.0600
14593,03783310,AAPL,20210920,142.9400,-0.021361,142.9400
14593,03783310,AAPL,20210921,143.4300,0.003428,143.4300
14593,03783310,AAPL,20210922,145.8500,0.016872,145.8500
14593,03783310,AAPL,20210923,146.8300,0.006719,146.8300
14593,03783310,AAPL,20210924,146.9200,0.000613,146.9200
14593,03783310,AAPL,20210927,145.3700,-0.010550,145.3700
14593,03783310,AAPL,20210928,141.9100,-0.023801,141.9100
14593,03783310,AAPL,20210929,142.8300,0.006483,142.8300
14593,03783310,AAPL,20210930,141.5000,-0.009312,141.5000
14593,03783310,AAPL,20211001,142.6500,0.008127,142.6500
14593,03783310,AAPL,20211004,139.1400,-0.024606,139.1400
14593,03783310,AAPL,20211005,141.1100,0.014158,141.1100
14593,03783310,AAPL,20211006,142.0000,0.006307,142.0000
14593,03783310,AAPL,20211007,143.2900,0.009085,143.2900
14593,03783310,AAPL,20211008,142.9000,-0.002722,142.9000
14593,03783310,AAPL,20211011,142.8100,-0.000630,142.8100
14593,03783310,AAPL,20211012,141.5100,-0.009103,141.5100
14593,03783310,AAPL,20211013,140.9100,-0.004240,140.9100
14593,03783310,AAPL,20211014,143.7600,0.020226,143.7600
14593,03783310,AAPL,20211015,144.8400,0.007513,144.8400
14593,03783310,AAPL,20211018,146.5500,0.011806,146.5500
14593,03783310,AAPL,20211019,148.7600,0.015080,148.7600
14593,03783310,AAPL,20211020,149.2600,0.003361,149.2600
14593,03783310,AAPL,20211021,149.4800,0.001474,149.4800
14593,03783310,AAPL,20211022,148.6900,-0.005285,148.6900
14593,03783310,AAPL,20211025,148.6400,-0.000336,148.6400
14593,03783310,AAPL,20211026,149.3200,0.004575,149.3200
14593,03783310,AAPL,20211027,148.8500,-0.003148,148.8500
14593,03783310,AAPL,20211028,152.5700,0.024992,152.5700
14593,03783310,AAPL,20211029,149.8000,-0.018156,149.8000
14593,03783310,AAPL,20211101,148.9600,-0.005607,148.9600
14593,03783310,AAPL,20211102,150.0200,0.007116,150.0200
14593,03783310,AAPL,20211103,151.4900,0.009799,151.4900
14593,03783310,AAPL,20211104,150.9600,-0.003499,150.9600
14593,03783310,AAPL,20211105,151.2800,0.002120,151.2800
14593,03783310,AAPL,20211108,150.4400,-0.005553,150.4400
14593,03783310,AAPL,20211109,150.8100,0.002459,150.8100
14593,03783310,AAPL,20211110,147.9200,-0.019163,147.9200
14593,03783310,AAPL,20211111,147.8700,-0.000338,147.8700
14593,03783310,AAPL,20211112,149.9900,0.014337,149.9900
14593,03783310,AAPL,20211115,150.0000,0.000067,150.0000
14593,03783310,AAPL,20211116,151.0000,0.006667,151.0000
14593,03783310,AAPL,20211117,153.4900,0.016490,153.4900
14593,03783310,AAPL,20211118,157.8700,0.028536,157.8700
14593,03783310,AAPL,20211119,160.5500,0.016976,160.5500
14593,03783310,AAPL,20211122,161.0200,0.002927,161.0200
14593,03783310,AAPL,20211123,161.4100,0.002422,161.4100
14593,03783310,AAPL,20211124,161.9400,0.003284,161.9400
14593,03783310,AAPL,20211126,156.8100,-0.031678,156.8100
14593,03783310,AAPL,20211129,160.2400,0.021874,160.2400
14593,03783310,AAPL,20211130,165.3000,0.031578,165.3000
14593,03783310,AAPL,20211201,164.7700,-0.003206,164.7700
14593,03783310,AAPL,20211202,163.7600,-0.006130,163.7600
14593,03783310,AAPL,20211203,161.8400,-0.011724,161.8400
14593,03783310,AAPL,20211206,165.3200,0.021503,165.3200
14593,03783310,AAPL,20211207,171.1800,0.035446,171.1800
14593,03783310,AAPL,20211208,175.0800,0.022783,175.0800
14593,03783310,AAPL,20211209,174.5600,-0.002970,174.5600
